Unnamed: 0,user_id,name,email,company,role,verified,item_id,item_name,category,description,price,supplier,stock,invoice_id,vendor_id,invoice_date,due_date,amount,status,related_item_id,from,to,subject,body,email_type,generated_reply,response_date,summary,previous_interactions,phone,address,timestamp,reply_text,action_taken
10.0,9265.0,Whitney Barrett,wgibbs@finley.net,"Robinson, Smith and Ramirez",Finance Officer,False,C104,Landing Gear Tire,Aircraft Parts,Durable tire for landing gear systems,2100.0,TireTech,39.0,INV-1571,V7245,2025-07-29,2025-08-28,81900.0,Pending,C104,wgibbs@finley.net,support@aerosupply.com,Invoice status inquiry INV-1571,"Hello, could you confirm the status of invoice INV-1571 for Landing Gear Tire?",Invoice Query,"Dear Whitney Barrett, the payment status for invoice INV-1571 is Pending.",2025-07-30,Whitney Barrett requested status of INV-1571 for Landing Gear Tire; response sent confirming Pending.,"[{'uuid': '62c544e7-a9b8-4548-85ad-d78744f031e4', 'context': 'User requested catalog details for Landing Gear Tire (C104)'}]",6719433706.0,"875, Main Street, City6",,,
11.0,2186.0,Kristie Brown,davidvaldez@schaefer.com,West and Sons,Supply Chain Lead,True,C103,Jet Fuel Pump,Engine Parts,Fuel pump for jet engines,8750.25,JetSupply Ltd,9.0,INV-3597,V3060,2025-09-10,2025-10-10,78752.25,Overdue,C103,davidvaldez@schaefer.com,support@aerosupply.com,Invoice status inquiry INV-3597,"Hello, could you confirm the status of invoice INV-3597 for Jet Fuel Pump?",Invoice Query,"Dear Kristie Brown, the payment status for invoice INV-3597 is Overdue.",2025-09-11,Kristie Brown requested status of INV-3597 for Jet Fuel Pump; response sent confirming Overdue.,"[{'uuid': 'd14b74a6-1868-4584-b6b5-2236c3034430', 'context': 'User requested catalog details for Jet Fuel Pump (C103)'}]",9365657859.0,"744, Main Street, City47",,,
12.0,4143.0,Andrew Scott,jamesmoran@weiss-bullock.biz,"Steele, Kramer and Miller",Procurement Manager,False,C103,Jet Fuel Pump,Engine Parts,Fuel pump for jet engines,8750.25,JetSupply Ltd,26.0,INV-7272,V8287,2025-07-19,2025-08-18,227506.5,Paid,C103,jamesmoran@weiss-bullock.biz,support@aerosupply.com,Invoice status inquiry INV-7272,"Hello, could you confirm the status of invoice INV-7272 for Jet Fuel Pump?",Invoice Query,"Dear Andrew Scott, the payment status for invoice INV-7272 is Paid.",2025-07-20,Andrew Scott requested status of INV-7272 for Jet Fuel Pump; response sent confirming Paid.,"[{'uuid': '04984f82-19d1-44f8-8046-da71e7c3845a', 'context': 'User requested catalog details for Jet Fuel Pump (C103)'}]",8966369235.0,"683, Main Street, City29",,,
13.0,5243.0,Victoria Cruz,amy00@johnson.org,"Castillo, Russell and Allen",Procurement Manager,True,C103,Jet Fuel Pump,Engine Parts,Fuel pump for jet engines,8750.25,JetSupply Ltd,15.0,INV-2620,V8420,2025-09-13,2025-10-13,131253.75,Pending,C103,amy00@johnson.org,support@aerosupply.com,Invoice status inquiry INV-2620,"Hello, could you confirm the status of invoice INV-2620 for Jet Fuel Pump?",Invoice Query,"Dear Victoria Cruz, the payment status for invoice INV-2620 is Pending.",2025-09-14,Victoria Cruz requested status of INV-2620 for Jet Fuel Pump; response sent confirming Pending.,"[{'uuid': '90ad8e7d-74da-4918-ae5f-d1fe40177b8f', 'context': 'User requested catalog details for Jet Fuel Pump (C103)'}]",6651813420.0,"911, Main Street, City27",,,
14.0,9951.0,Jeremy Key,garyalvarez@yahoo.com,"Hoffman, Lee and Roberts",Supply Chain Lead,True,C104,Landing Gear Tire,Aircraft Parts,Durable tire for landing gear systems,2100.0,TireTech,32.0,INV-8326,V2700,2025-07-08,2025-08-07,67200.0,Paid,C104,garyalvarez@yahoo.com,support@aerosupply.com,Invoice status inquiry INV-8326,"Hello, could you confirm the status of invoice INV-8326 for Landing Gear Tire?",Invoice Query,"Dear Jeremy Key, the payment status for invoice INV-8326 is Paid.",2025-07-09,Jeremy Key requested status of INV-8326 for Landing Gear Tire; response sent confirming Paid.,"[{'uuid': 'b54055cd-4c00-4ff7-8540-6dc2b0f18595', 'context': 'User requested catalog details for Landing Gear Tire (C104)'}]",9077115181.0,"945, Main Street, City7",,,
15.0,5924.0,Carol Bright,douglasmora@hotmail.com,Dunn-Fields,Finance Officer,True,C102,Avionics Display,Electronics,Cockpit avionics display screen,5600.5,SkyAvionics,42.0,INV-6774,V3385,2025-09-02,2025-10-02,235221.0,Paid,C102,douglasmora@hotmail.com,support@aerosupply.com,Invoice status inquiry INV-6774,"Hello, could you confirm the status of invoice INV-6774 for Avionics Display?",Invoice Query,"Dear Carol Bright, the payment status for invoice INV-6774 is Paid.",2025-09-03,Carol Bright requested status of INV-6774 for Avionics Display; response sent confirming Paid.,"[{'uuid': '79a054b9-fa0a-4fcc-884c-bd5a772b2334', 'context': 'User requested catalog details for Avionics Display (C102)'}]",7455820233.0,"680, Main Street, City39",,,
16.0,8906.0,William Coleman,erika60@sandoval-hobbs.com,"Horton, Lopez and Dunlap",Engineer,False,C105,Flight Control Computer,Electronics,Onboard flight control system computer,15200.99,ControlSys Inc,20.0,INV-9350,V1723,2025-08-06,2025-09-05,304019.8,Paid,C105,erika60@sandoval-hobbs.com,support@aerosupply.com,Invoice status inquiry INV-9350,"Hello, could you confirm the status of invoice INV-9350 for Flight Control Computer?",Invoice Query,"Dear William Coleman, the payment status for invoice INV-9350 is Paid.",2025-08-07,William Coleman requested status of INV-9350 for Flight Control Computer; response sent confirming Paid.,"[{'uuid': 'ae9b8de8-10b6-4ee2-9e18-737be7976814', 'context': 'User requested catalog details for Flight Control Computer (C105)'}]",8365627495.0,"661, Main Street, City25",,,
17.0,9506.0,William Clark,taylor63@hoover.com,Abbott Ltd,Engineer,True,C101,Hydraulic Pump,Aircraft Parts,Hydraulic pump for A320 landing gear,1450.75,AirParts Co,7.0,INV-3716,V9599,2025-08-16,2025-09-15,10155.25,Overdue,C101,taylor63@hoover.com,support@aerosupply.com,Invoice status inquiry INV-3716,"Hello, could you confirm the status of invoice INV-3716 for Hydraulic Pump?",Invoice Query,"Dear William Clark, the payment status for invoice INV-3716 is Overdue.",2025-08-17,William Clark requested status of INV-3716 for Hydraulic Pump; response sent confirming Overdue.,"[{'uuid': '8140fd85-6573-42b6-bf80-ae69cccf54f1', 'context': 'User requested catalog details for Hydraulic Pump (C101)'}]",6722341687.0,"247, Main Street, City2",,,
18.0,2318.0,Kelsey Odonnell,hblevins@yahoo.com,"Hanson, Carter and Sawyer",Finance Officer,True,C101,Hydraulic Pump,Aircraft Parts,Hydraulic pump for A320 landing gear,1450.75,AirParts Co,22.0,INV-1202,V2136,2025-06-25,2025-07-25,31916.5,Overdue,C101,hblevins@yahoo.com,support@aerosupply.com,Invoice status inquiry INV-1202,"Hello, could you confirm the status of invoice INV-1202 for Hydraulic Pump?",Invoice Query,"Dear Kelsey Odonnell, the payment status for invoice INV-1202 is Overdue.",2025-06-26,Kelsey Odonnell requested status of INV-1202 for Hydraulic Pump; response sent confirming Overdue.,"[{'uuid': 'deb26195-4eb8-4a07-a30a-2002afb421b2', 'context': 'User requested catalog details for Hydraulic Pump (C101)'}]",8073996422.0,"439, Main Street, City26",,,
19.0,8028.0,Mary Oconnell,keith79@gmail.com,"Cook, Martinez and Cole",Finance Officer,False,C104,Landing Gear Tire,Aircraft Parts,Durable tire for landing gear systems,2100.0,TireTech,38.0,INV-9916,V3235,2025-08-20,2025-09-19,79800.0,Overdue,C104,keith79@gmail.com,support@aerosupply.com,Invoice status inquiry INV-9916,"Hello, could you confirm the status of invoice INV-9916 for Landing Gear Tire?",Invoice Query,"Dear Mary Oconnell, the payment status for invoice INV-9916 is Overdue.",2025-08-21,Mary Oconnell requested status of INV-9916 for Landing Gear Tire; response sent confirming Overdue.,"[{'uuid': '6aae178d-400e-4a77-bb36-c95fa8e168f3', 'context': 'User requested catalog details for Landing Gear Tire (C104)'}]",9530754945.0,"482, Main Street, City5",,,
20.0,6005.0,Spencer Smith,sierrafuller@yahoo.com,Garza Group,Procurement Manager,False,C103,Jet Fuel Pump,Engine Parts,Fuel pump for jet engines,8750.25,JetSupply Ltd,10.0,INV-3060,V8169,2025-09-12,2025-10-12,87502.5,Paid,C103,sierrafuller@yahoo.com,support@aerosupply.com,Invoice status inquiry INV-3060,"Hello, could you confirm the status of invoice INV-3060 for Jet Fuel Pump?",Invoice Query,"Dear Spencer Smith, the payment status for invoice INV-3060 is Paid.",2025-09-13,Spencer Smith requested status of INV-3060 for Jet Fuel Pump; response sent confirming Paid.,"[{'uuid': '35417a30-3778-4dd4-9a8c-25db16d799c8', 'context': 'User requested catalog details for Jet Fuel Pump (C103)'}]",7548710971.0,"643, Main Street, City36",,,
21.0,8846.0,Pamela Davidson,vmathis@medina.org,Silva-Watson,Finance Officer,True,C103,Jet Fuel Pump,Engine Parts,Fuel pump for jet engines,8750.25,JetSupply Ltd,44.0,INV-8351,V9650,2025-08-29,2025-09-28,385011.0,Paid,C103,vmathis@medina.org,support@aerosupply.com,Invoice status inquiry INV-8351,"Hello, could you confirm the status of invoice INV-8351 for Jet Fuel Pump?",Invoice Query,"Dear Pamela Davidson, the payment status for invoice INV-8351 is Paid.",2025-08-30,Pamela Davidson requested status of INV-8351 for Jet Fuel Pump; response sent confirming Paid.,"[{'uuid': '5ec33b8f-b33f-40d2-807a-4e78ba4468f5', 'context': 'User requested catalog details for Jet Fuel Pump (C103)'}]",6219202831.0,"486, Main Street, City16",,,
22.0,5323.0,Christopher Frye,kentmiller@yahoo.com,"Mueller, Sanchez and Wilson",Engineer,True,C103,Jet Fuel Pump,Engine Parts,Fuel pump for jet engines,8750.25,JetSupply Ltd,15.0,INV-4329,V2270,2025-07-04,2025-08-03,131253.75,Overdue,C103,kentmiller@yahoo.com,support@aerosupply.com,Invoice status inquiry INV-4329,"Hello, could you confirm the status of invoice INV-4329 for Jet Fuel Pump?",Invoice Query,"Dear Christopher Frye, the payment status for invoice INV-4329 is Overdue.",2025-07-05,Christopher Frye requested status of INV-4329 for Jet Fuel Pump; response sent confirming Overdue.,"[{'uuid': '8e9cf94b-4030-4ae1-9269-3e77053fd115', 'context': 'User requested catalog details for Jet Fuel Pump (C103)'}]",8477212472.0,"259, Main Street, City13",,,
23.0,2161.0,Scott King,westleslie@gmail.com,Burns-Mason,Procurement Manager,True,C104,Landing Gear Tire,Aircraft Parts,Durable tire for landing gear systems,2100.0,TireTech,35.0,INV-8975,V6778,2025-07-02,2025-08-01,73500.0,Overdue,C104,westleslie@gmail.com,support@aerosupply.com,Invoice status inquiry INV-8975,"Hello, could you confirm the status of invoice INV-8975 for Landing Gear Tire?",Invoice Query,"Dear Scott King, the payment status for invoice INV-8975 is Overdue.",2025-07-03,Scott King requested status of INV-8975 for Landing Gear Tire; response sent confirming Overdue.,"[{'uuid': 'f8c9534e-3a34-415e-8cc7-85234bd7e71f', 'context': 'User requested catalog details for Landing Gear Tire (C104)'}]",8482192214.0,"870, Main Street, City39",,,
24.0,2406.0,Morgan Baker,mark98@gmail.com,"Douglas, Smith and Bennett",Engineer,True,C105,Flight Control Computer,Electronics,Onboard flight control system computer,15200.99,ControlSys Inc,44.0,INV-7826,V1441,2025-07-30,2025-08-29,668843.56,Pending,C105,mark98@gmail.com,support@aerosupply.com,Invoice status inquiry INV-7826,"Hello, could you confirm the status of invoice INV-7826 for Flight Control Computer?",Invoice Query,"Dear Morgan Baker, the payment status for invoice INV-7826 is Pending.",2025-07-31,Morgan Baker requested status of INV-7826 for Flight Control Computer; response sent confirming Pending.,"[{'uuid': '3b0d4010-78bd-4da2-8f3a-5c31ba6b39ea', 'context': 'User requested catalog details for Flight Control Computer (C105)'}]",7222960090.0,"589, Main Street, City13",,,
25.0,3586.0,Ralph Delacruz,pamelaconley@yahoo.com,Dennis Group,Procurement Manager,True,C104,Landing Gear Tire,Aircraft Parts,Durable tire for landing gear systems,2100.0,TireTech,19.0,INV-8938,V2831,2025-06-30,2025-07-30,39900.0,Overdue,C104,pamelaconley@yahoo.com,support@aerosupply.com,Invoice status inquiry INV-8938,"Hello, could you confirm the status of invoice INV-8938 for Landing Gear Tire?",Invoice Query,"Dear Ralph Delacruz, the payment status for invoice INV-8938 is Overdue.",2025-07-01,Ralph Delacruz requested status of INV-8938 for Landing Gear Tire; response sent confirming Overdue.,"[{'uuid': '47b62400-c797-4d3c-bd6c-4f81eaca4c54', 'context': 'User requested catalog details for Landing Gear Tire (C104)'}]",7039174261.0,"382, Main Street, City40",,,
26.0,1504.0,Laura Jennings,sonia75@paul.net,Chavez-Gonzalez,Finance Officer,False,C105,Flight Control Computer,Electronics,Onboard flight control system computer,15200.99,ControlSys Inc,19.0,INV-1085,V7063,2025-09-01,2025-10-01,288818.81,Pending,C105,sonia75@paul.net,support@aerosupply.com,Invoice status inquiry INV-1085,"Hello, could you confirm the status of invoice INV-1085 for Flight Control Computer?",Invoice Query,"Dear Laura Jennings, the payment status for invoice INV-1085 is Pending.",2025-09-02,Laura Jennings requested status of INV-1085 for Flight Control Computer; response sent confirming Pending.,"[{'uuid': '8e64acf1-3ffa-43b5-9750-18d5ed4d2e23', 'context': 'User requested catalog details for Flight Control Computer (C105)'}]",7925732619.0,"940, Main Street, City18",,,
27.0,2463.0,Steven Moore,hmitchell@gmail.com,Mason Group,Engineer,False,C103,Jet Fuel Pump,Engine Parts,Fuel pump for jet engines,8750.25,JetSupply Ltd,20.0,INV-2777,V8954,2025-07-22,2025-08-21,175005.0,Paid,C103,hmitchell@gmail.com,support@aerosupply.com,Invoice status inquiry INV-2777,"Hello, could you confirm the status of invoice INV-2777 for Jet Fuel Pump?",Invoice Query,"Dear Steven Moore, the payment status for invoice INV-2777 is Paid.",2025-07-23,Steven Moore requested status of INV-2777 for Jet Fuel Pump; response sent confirming Paid.,"[{'uuid': 'c93f4abb-3ee6-47da-aa1b-5a1115b5746f', 'context': 'User requested catalog details for Jet Fuel Pump (C103)'}]",7696393825.0,"316, Main Street, City4",,,
28.0,7929.0,Amanda Thomas,ulittle@bailey-fitzgerald.com,Harrington-Perez,Procurement Manager,True,C105,Flight Control Computer,Electronics,Onboard flight control system computer,15200.99,ControlSys Inc,44.0,INV-5852,V8728,2025-07-01,2025-07-31,668843.56,Overdue,C105,ulittle@bailey-fitzgerald.com,support@aerosupply.com,Invoice status inquiry INV-5852,"Hello, could you confirm the status of invoice INV-5852 for Flight Control Computer?",Invoice Query,"Dear Amanda Thomas, the payment status for invoice INV-5852 is Overdue.",2025-07-02,Amanda Thomas requested status of INV-5852 for Flight Control Computer; response sent confirming Overdue.,"[{'uuid': 'd5ccc4a7-92b1-41c1-8da1-234777e57f12', 'context': 'User requested catalog details for Flight Control Computer (C105)'}]",8818307577.0,"163, Main Street, City2",,,
29.0,4091.0,Steven Garcia,knightzachary@avery.com,Knight-Rollins,Finance Officer,False,C104,Landing Gear Tire,Aircraft Parts,Durable tire for landing gear systems,2100.0,TireTech,23.0,INV-1290,V7905,2025-09-11,2025-10-11,48300.0,Paid,C104,knightzachary@avery.com,support@aerosupply.com,Invoice status inquiry INV-1290,"Hello, could you confirm the status of invoice INV-1290 for Landing Gear Tire?",Invoice Query,"Dear Steven Garcia, the payment status for invoice INV-1290 is Paid.",2025-09-12,Steven Garcia requested status of INV-1290 for Landing Gear Tire; response sent confirming Paid.,"[{'uuid': '82556446-78e1-43cd-9a97-92ae7dbbbdad', 'context': 'User requested catalog details for Landing Gear Tire (C104)'}]",9860625630.0,"905, Main Street, City1",,,
30.0,2979.0,Deborah Mendez,alancallahan@yahoo.com,Yoder-Lewis,Engineer,False,C101,Hydraulic Pump,Aircraft Parts,Hydraulic pump for A320 landing gear,1450.75,AirParts Co,47.0,INV-9593,V8737,2025-08-16,2025-09-15,68185.25,Pending,C101,alancallahan@yahoo.com,support@aerosupply.com,Invoice status inquiry INV-9593,"Hello, could you confirm the status of invoice INV-9593 for Hydraulic Pump?",Invoice Query,"Dear Deborah Mendez, the payment status for invoice INV-9593 is Pending.",2025-08-17,Deborah Mendez requested status of INV-9593 for Hydraulic Pump; response sent confirming Pending.,"[{'uuid': 'c5242921-c605-46a3-90ef-d87e1d00f162', 'context': 'User requested catalog details for Hydraulic Pump (C101)'}]",6665389401.0,"935, Main Street, City40",,,
31.0,1708.0,Haley Johnson,barbarabolton@gmail.com,"Thompson, Jimenez and Fischer",Procurement Manager,False,C103,Jet Fuel Pump,Engine Parts,Fuel pump for jet engines,8750.25,JetSupply Ltd,19.0,INV-5134,V9548,2025-09-01,2025-10-01,166254.75,Pending,C103,barbarabolton@gmail.com,support@aerosupply.com,Invoice status inquiry INV-5134,"Hello, could you confirm the status of invoice INV-5134 for Jet Fuel Pump?",Invoice Query,"Dear Haley Johnson, the payment status for invoice INV-5134 is Pending.",2025-09-02,Haley Johnson requested status of INV-5134 for Jet Fuel Pump; response sent confirming Pending.,"[{'uuid': '7da6f8d5-e8ea-4560-84d7-717e4419a8be', 'context': 'User requested catalog details for Jet Fuel Pump (C103)'}]",8410757956.0,"451, Main Street, City43",,,
32.0,8792.0,Carol King MD,kcastillo@hotmail.com,Shannon LLC,Engineer,True,C103,Jet Fuel Pump,Engine Parts,Fuel pump for jet engines,8750.25,JetSupply Ltd,18.0,INV-9145,V1420,2025-09-10,2025-10-10,157504.5,Paid,C103,kcastillo@hotmail.com,support@aerosupply.com,Invoice status inquiry INV-9145,"Hello, could you confirm the status of invoice INV-9145 for Jet Fuel Pump?",Invoice Query,"Dear Carol King MD, the payment status for invoice INV-9145 is Paid.",2025-09-11,Carol King MD requested status of INV-9145 for Jet Fuel Pump; response sent confirming Paid.,"[{'uuid': '66cd5cb8-3060-4619-bfc1-9c046318d22a', 'context': 'User requested catalog details for Jet Fuel Pump (C103)'}]",6929489517.0,"272, Main Street, City42",,,
33.0,3323.0,Brooke Johnson DDS,mwebb@wood.biz,Willis Group,Engineer,True,C102,Avionics Display,Electronics,Cockpit avionics display screen,5600.5,SkyAvionics,20.0,INV-5704,V6675,2025-09-03,2025-10-03,112010.0,Overdue,C102,mwebb@wood.biz,support@aerosupply.com,Invoice status inquiry INV-5704,"Hello, could you confirm the status of invoice INV-5704 for Avionics Display?",Invoice Query,"Dear Brooke Johnson DDS, the payment status for invoice INV-5704 is Overdue.",2025-09-04,Brooke Johnson DDS requested status of INV-5704 for Avionics Display; response sent confirming Overdue.,"[{'uuid': '1be065e8-94f9-4a66-8876-5cd602c63027', 'context': 'User requested catalog details for Avionics Display (C102)'}]",9722422890.0,"154, Main Street, City19",,,
34.0,3409.0,Carl Stewart,elizabeth93@olson.com,Munoz-Smith,Procurement Manager,True,C103,Jet Fuel Pump,Engine Parts,Fuel pump for jet engines,8750.25,JetSupply Ltd,30.0,INV-9125,V6120,2025-08-27,2025-09-26,262507.5,Overdue,C103,elizabeth93@olson.com,support@aerosupply.com,Invoice status inquiry INV-9125,"Hello, could you confirm the status of invoice INV-9125 for Jet Fuel Pump?",Invoice Query,"Dear Carl Stewart, the payment status for invoice INV-9125 is Overdue.",2025-08-28,Carl Stewart requested status of INV-9125 for Jet Fuel Pump; response sent confirming Overdue.,"[{'uuid': '427a6e11-4f62-4dec-b3a0-4d55e4c34291', 'context': 'User requested catalog details for Jet Fuel Pump (C103)'}]",6161484950.0,"572, Main Street, City20",,,
